Archive_Date,Specialty_HIPE,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
31-01-2021,1800,Orthopaedics,Adult,0-15, 3-6 Months,1
31-01-2021,1800,Orthopaedics,Adult,0-15, 6-9 Months,2
31-01-2021,1800,Orthopaedics,Adult,16-64, 6-9 Months,144
31-01-2021,1800,Orthopaedics,Adult,65+,15-18 Months,43
31-01-2021,2600,General Surgery,Adult,0-15, 0-3 Months,1
31-01-2021,2600,General Surgery,Adult,16-64, 0-3 Months,200
31-01-2021,2600,General Surgery,Adult,16-64, 6-9 Months,48
31-01-2021,7800,Urology,Adult,16-64, 0-3 Months,34
31-01-2021,7800,Urology,Adult,16-64, 3-6 Months,3
31-01-2021,100,Cardiology,Adult,16-64,15-18 Months,47
31-01-2021,100,Cardiology,Adult,65+, 0-3 Months,19
31-01-2021,100,Cardiology,Adult,65+, 9-12 Months,10
31-01-2021,100,Cardiology,Adult,65+,18 Months +,4
31-01-2021,300,Dermatology,Adult,16-64,15-18 Months,41
31-01-2021,300,Dermatology,Adult,65+, 0-3 Months,17
31-01-2021,300,Dermatology,Adult,65+, 6-9 Months,14
31-01-2021,300,Dermatology,Adult,65+, 9-12 Months,20
31-01-2021,300,Dermatology,Adult,65+,18 Months +,28
31-01-2021,300,Dermatology,Child,0-15, 3-6 Months,1
31-01-2021,600,Otolaryngology (ENT),Adult,16-64, 3-6 Months,115
31-01-2021,600,Otolaryngology (ENT),Adult,16-64,18 Months +,14
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 0-3 Months,49
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 6-9 Months,24
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 9-12 Months,24
31-01-2021,601,Paediatric ENT,Child,0-15, 3-6 Months,37
31-01-2021,601,Paediatric ENT,Child,0-15, 6-9 Months,12
31-01-2021,601,Paediatric ENT,Child,0-15,12-15 Months,46
31-01-2021,1503,Gynaecology,Adult,65+,15-18 Months,8
31-01-2021,1503,Gynaecology,Child,0-15, 3-6 Months,4
31-01-2021,1503,Gynaecology,Child,0-15, 6-9 Months,2
31-01-2021,1503,Gynaecology,Child,0-15, 9-12 Months,1
31-01-2021,1503,Gynaecology,Child,0-15,12-15 Months,3
31-01-2021,1700,Ophthalmology,Adult,65+, 0-3 Months,612
31-01-2021,1700,Ophthalmology,Adult,65+, 3-6 Months,425
31-01-2021,1700,Ophthalmology,Adult,65+,12-15 Months,385
31-01-2021,1800,Orthopaedics,Adult,16-64, 3-6 Months,377
31-01-2021,1800,Orthopaedics,Adult,16-64,12-15 Months,119
31-01-2021,1800,Orthopaedics,Adult,65+,15-18 Months,24
31-01-2021,2500,Rheumatology,Adult,16-64, 3-6 Months,30
31-01-2021,2500,Rheumatology,Adult,16-64, 6-9 Months,5
31-01-2021,2500,Rheumatology,Adult,16-64, 9-12 Months,4
31-01-2021,2500,Rheumatology,Adult,16-64,12-15 Months,2
31-01-2021,0,Small Volume Specialities,Adult,65+, 3-6 Months,1
31-01-2021,100,Cardiology,Adult,16-64, 0-3 Months,55
31-01-2021,100,Cardiology,Adult,16-64, 6-9 Months,36
31-01-2021,100,Cardiology,Adult,16-64, 9-12 Months,82
31-01-2021,100,Cardiology,Adult,16-64,18 Months +,6
31-01-2021,100,Cardiology,Adult,65+, 3-6 Months,23
31-01-2021,100,Cardiology,Adult,65+,12-15 Months,13
31-01-2021,300,Dermatology,Adult,16-64, 0-3 Months,224
31-01-2021,300,Dermatology,Adult,16-64, 6-9 Months,140
31-01-2021,300,Dermatology,Adult,16-64, 9-12 Months,128
31-01-2021,300,Dermatology,Adult,16-64,12-15 Months,174
31-01-2021,300,Dermatology,Adult,16-64,18 Months +,376
31-01-2021,300,Dermatology,Adult,65+, 3-6 Months,42
31-01-2021,700,Gastro-Enterology,Adult,16-64, 3-6 Months,92
31-01-2021,700,Gastro-Enterology,Adult,16-64, 6-9 Months,47
31-01-2021,700,Gastro-Enterology,Adult,16-64,12-15 Months,24
31-01-2021,900,Geriatric Medicine,Adult,16-64, 0-3 Months,4
31-01-2021,900,Geriatric Medicine,Adult,16-64, 3-6 Months,4
31-01-2021,900,Geriatric Medicine,Adult,16-64,12-15 Months,2
31-01-2021,900,Geriatric Medicine,Adult,65+, 6-9 Months,34
31-01-2021,1100,Haematology,Adult,16-64,18 Months +,7
31-01-2021,1100,Haematology,Adult,65+, 0-3 Months,14
31-01-2021,1100,Haematology,Adult,65+, 3-6 Months,14
31-01-2021,1100,Haematology,Adult,65+, 6-9 Months,8
31-01-2021,1100,Haematology,Adult,65+, 9-12 Months,1
31-01-2021,1100,Haematology,Adult,65+,12-15 Months,2
31-01-2021,1503,Gynaecology,Adult,65+, 0-3 Months,21
31-01-2021,1503,Gynaecology,Adult,65+, 3-6 Months,12
31-01-2021,1503,Gynaecology,Adult,65+, 6-9 Months,7
31-01-2021,1503,Gynaecology,Adult,65+, 9-12 Months,4
31-01-2021,1700,Ophthalmology,Adult,16-64, 3-6 Months,20
31-01-2021,1700,Ophthalmology,Adult,16-64,12-15 Months,1
31-01-2021,1800,Orthopaedics,Adult,65+, 0-3 Months,140
31-01-2021,1800,Orthopaedics,Adult,65+, 9-12 Months,31
31-01-2021,1800,Orthopaedics,Adult,65+,18 Months +,9
31-01-2021,2000,Plastic Surgery,Adult,16-64, 6-9 Months,1
31-01-2021,2000,Plastic Surgery,Adult,16-64, 9-12 Months,81
31-01-2021,2300,Nephrology,Adult,16-64, 0-3 Months,40
31-01-2021,2300,Nephrology,Adult,16-64, 3-6 Months,13
31-01-2021,2300,Nephrology,Adult,65+, 6-9 Months,6
31-01-2021,2400,Respiratory Medicine,Adult,16-64,15-18 Months,71
31-01-2021,2400,Respiratory Medicine,Adult,16-64,18 Months +,17
31-01-2021,2400,Respiratory Medicine,Adult,65+, 3-6 Months,34
31-01-2021,2400,Respiratory Medicine,Adult,65+, 6-9 Months,16
31-01-2021,2400,Respiratory Medicine,Adult,65+, 9-12 Months,26
31-01-2021,2400,Respiratory Medicine,Adult,65+,12-15 Months,40
31-01-2021,2500,Rheumatology,Adult,16-64,15-18 Months,37
31-01-2021,2500,Rheumatology,Adult,65+,18 Months +,40
31-01-2021,2600,General Surgery,Adult,16-64, 3-6 Months,121
31-01-2021,2600,General Surgery,Adult,16-64,12-15 Months,9
31-01-2021,2600,General Surgery,Adult,65+,15-18 Months,7
31-01-2021,5000,General Medicine,Adult,65+, 0-3 Months,12
31-01-2021,5000,General Medicine,Adult,65+, 3-6 Months,10
31-01-2021,0,Small Volume Specialities,Adult,0-15, 0-3 Months,2
31-01-2021,0,Small Volume Specialities,Adult,0-15,18 Months +,1
31-01-2021,400,Endocrinology,Adult,65+, 0-3 Months,27
31-01-2021,400,Endocrinology,Adult,65+, 9-12 Months,1
31-01-2021,1503,Gynaecology,Adult,16-64, 0-3 Months,123
31-01-2021,1503,Gynaecology,Adult,65+, 6-9 Months,6
31-01-2021,1503,Gynaecology,Adult,65+, 9-12 Months,7
31-01-2021,1700,Ophthalmology,Adult,65+,15-18 Months,14
31-01-2021,1800,Orthopaedics,Adult,16-64,18 Months +,25
31-01-2021,1800,Orthopaedics,Adult,65+, 0-3 Months,90
31-01-2021,1800,Orthopaedics,Adult,65+, 3-6 Months,74
31-01-2021,1800,Orthopaedics,Adult,65+, 9-12 Months,59
31-01-2021,1800,Orthopaedics,Adult,65+,12-15 Months,48
31-01-2021,5000,General Medicine,Adult,16-64, 0-3 Months,4
31-01-2021,7800,Urology,Adult,16-64,15-18 Months,43
31-01-2021,0,Small Volume Specialities,Adult,16-64, 6-9 Months,1
31-01-2021,100,Cardiology,Adult,16-64, 3-6 Months,26
31-01-2021,100,Cardiology,Adult,16-64, 6-9 Months,12
31-01-2021,100,Cardiology,Adult,16-64,12-15 Months,22
31-01-2021,100,Cardiology,Adult,65+,15-18 Months,34
31-01-2021,300,Dermatology,Adult,16-64, 3-6 Months,52
31-01-2021,300,Dermatology,Adult,16-64,12-15 Months,51
31-01-2021,300,Dermatology,Adult,65+,15-18 Months,23
31-01-2021,600,Otolaryngology (ENT),Adult,65+,15-18 Months,17
31-01-2021,600,Otolaryngology (ENT),Child,0-15, 0-3 Months,6
31-01-2021,600,Otolaryngology (ENT),Child,0-15, 3-6 Months,1
31-01-2021,601,Paediatric ENT,Adult,16-64, 0-3 Months,6
31-01-2021,601,Paediatric ENT,Adult,16-64, 3-6 Months,2
31-01-2021,601,Paediatric ENT,Adult,16-64,12-15 Months,6
31-01-2021,601,Paediatric ENT,Child,0-15,15-18 Months,46
31-01-2021,1300,Neurology,Adult,16-64, 0-3 Months,3
31-01-2021,1300,Neurology,Adult,16-64, 6-9 Months,5
31-01-2021,1300,Neurology,Adult,16-64, 9-12 Months,1
31-01-2021,1300,Neurology,Adult,65+, 3-6 Months,3
31-01-2021,1503,Gynaecology,Adult,16-64,18 Months +,55
31-01-2021,1503,Gynaecology,Adult,65+, 0-3 Months,20
31-01-2021,1503,Gynaecology,Adult,65+, 3-6 Months,25
31-01-2021,1503,Gynaecology,Adult,65+, 6-9 Months,11
31-01-2021,1503,Gynaecology,Adult,65+, 9-12 Months,8
31-01-2021,1503,Gynaecology,Adult,65+,12-15 Months,10
31-01-2021,1800,Orthopaedics,Adult,16-64,15-18 Months,102
31-01-2021,1800,Orthopaedics,Adult,65+, 3-6 Months,68
31-01-2021,1800,Orthopaedics,Adult,65+, 6-9 Months,35
31-01-2021,1800,Orthopaedics,Adult,65+, 9-12 Months,41
31-01-2021,8800,Immunology,Adult,65+,15-18 Months,1
31-01-2021,100,Cardiology,Adult,16-64, 9-12 Months,192
31-01-2021,100,Cardiology,Adult,65+,18 Months +,6
31-01-2021,100,Cardiology,Child,0-15, 9-12 Months,7
31-01-2021,300,Dermatology,Adult,16-64, 0-3 Months,368
31-01-2021,300,Dermatology,Adult,16-64, 6-9 Months,160
31-01-2021,300,Dermatology,Adult,16-64,15-18 Months,181
31-01-2021,300,Dermatology,Adult,65+, 3-6 Months,57
31-01-2021,300,Dermatology,Adult,65+,12-15 Months,46
31-01-2021,300,Dermatology,Child,0-15, 0-3 Months,101
31-01-2021,300,Dermatology,Child,0-15, 6-9 Months,55
31-01-2021,300,Dermatology,Child,0-15,15-18 Months,26
31-01-2021,400,Endocrinology,Adult,16-64, 0-3 Months,194
31-01-2021,400,Endocrinology,Adult,16-64, 3-6 Months,102
31-01-2021,400,Endocrinology,Adult,65+, 6-9 Months,5
31-01-2021,400,Endocrinology,Adult,65+,15-18 Months,1
31-01-2021,400,Endocrinology,Child,0-15, 0-3 Months,1
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 0-3 Months,118
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 3-6 Months,64
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 6-9 Months,48
31-01-2021,600,Otolaryngology (ENT),Adult,65+,12-15 Months,57
31-01-2021,600,Otolaryngology (ENT),Adult,65+,18 Months +,180
31-01-2021,600,Otolaryngology (ENT),Child,0-15, 0-3 Months,146
31-01-2021,600,Otolaryngology (ENT),Child,0-15,18 Months +,426
31-01-2021,700,Gastro-Enterology,Adult,16-64, 6-9 Months,298
31-01-2021,700,Gastro-Enterology,Adult,16-64,15-18 Months,145
31-01-2021,900,Geriatric Medicine,Adult,16-64, 0-3 Months,18
31-01-2021,900,Geriatric Medicine,Adult,16-64, 3-6 Months,3
31-01-2021,900,Geriatric Medicine,Adult,65+,15-18 Months,1
31-01-2021,1100,Haematology,Adult,16-64, 3-6 Months,56
31-01-2021,1100,Haematology,Adult,16-64,12-15 Months,58
31-01-2021,1100,Haematology,Adult,65+, 9-12 Months,19
31-01-2021,1300,Neurology,Adult,16-64, 3-6 Months,268
31-01-2021,1300,Neurology,Adult,16-64,12-15 Months,185
31-01-2021,1300,Neurology,Adult,65+, 9-12 Months,38
31-01-2021,1503,Gynaecology,Adult,65+, 0-3 Months,63
31-01-2021,1503,Gynaecology,Adult,65+, 6-9 Months,18
31-01-2021,1503,Gynaecology,Adult,65+,15-18 Months,22
31-01-2021,1503,Gynaecology,Adult,65+,18 Months +,71
31-01-2021,1600,Oncology,Adult,16-64, 0-3 Months,21
31-01-2021,1600,Oncology,Adult,16-64, 3-6 Months,7
31-01-2021,1700,Ophthalmology,Adult,65+, 0-3 Months,315
31-01-2021,1700,Ophthalmology,Adult,65+,15-18 Months,99
31-01-2021,1700,Ophthalmology,Adult,65+,18 Months +,396
31-01-2021,1700,Ophthalmology,Child,0-15,18 Months +,28
31-01-2021,1800,Orthopaedics,Adult,16-64, 9-12 Months,456
31-01-2021,1800,Orthopaedics,Adult,65+, 0-3 Months,193
31-01-2021,1800,Orthopaedics,Adult,65+,18 Months +,736
31-01-2021,1800,Orthopaedics,Child,0-15,18 Months +,33
31-01-2021,1900,Paediatrics,Adult,16-64, 6-9 Months,4
31-01-2021,1800,Orthopaedics,Adult,65+,12-15 Months,58
31-01-2021,1900,Paediatrics,Child,0-15, 0-3 Months,132
31-01-2021,2300,Nephrology,Adult,16-64, 0-3 Months,6
31-01-2021,2300,Nephrology,Adult,16-64, 9-12 Months,1
31-01-2021,2300,Nephrology,Adult,65+, 3-6 Months,4
31-01-2021,2400,Respiratory Medicine,Adult,16-64, 3-6 Months,57
31-01-2021,2400,Respiratory Medicine,Adult,16-64,12-15 Months,65
31-01-2021,2400,Respiratory Medicine,Adult,16-64,18 Months +,117
31-01-2021,2400,Respiratory Medicine,Adult,65+, 0-3 Months,35
31-01-2021,2600,General Surgery,Adult,65+,15-18 Months,2
31-01-2021,2600,General Surgery,Child,0-15, 0-3 Months,13
31-01-2021,2600,General Surgery,Child,0-15, 3-6 Months,12
31-01-2021,5000,General Medicine,Adult,65+, 0-3 Months,126
31-01-2021,5000,General Medicine,Adult,65+, 3-6 Months,95
31-01-2021,5000,General Medicine,Adult,65+, 6-9 Months,58
31-01-2021,5000,General Medicine,Adult,65+, 9-12 Months,15
31-01-2021,100,Cardiology,Adult,65+,15-18 Months,52
31-01-2021,100,Cardiology,Child,0-15, 0-3 Months,3
31-01-2021,300,Dermatology,Child,0-15, 0-3 Months,175
31-01-2021,300,Dermatology,Child,0-15, 6-9 Months,59
31-01-2021,300,Dermatology,Child,0-15, 9-12 Months,57
31-01-2021,400,Endocrinology,Adult,65+, 0-3 Months,28
31-01-2021,400,Endocrinology,Adult,65+, 6-9 Months,9
31-01-2021,400,Endocrinology,Adult,65+, 9-12 Months,5
31-01-2021,400,Endocrinology,Adult,65+,12-15 Months,1
31-01-2021,600,Otolaryngology (ENT),Adult,16-64,15-18 Months,104
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 9-12 Months,29
31-01-2021,600,Otolaryngology (ENT),Adult,65+,18 Months +,112
31-01-2021,601,Paediatric ENT,Child,0-15, 0-3 Months,67
31-01-2021,601,Paediatric ENT,Child,0-15, 9-12 Months,37
31-01-2021,601,Paediatric ENT,Child,0-15,18 Months +,187
31-01-2021,1100,Haematology,Adult,16-64, 3-6 Months,12
31-01-2021,1100,Haematology,Adult,16-64, 6-9 Months,4
31-01-2021,1503,Gynaecology,Adult,16-64, 0-3 Months,437
31-01-2021,1503,Gynaecology,Adult,16-64, 3-6 Months,324
31-01-2021,1503,Gynaecology,Adult,16-64, 9-12 Months,122
31-01-2021,1503,Gynaecology,Adult,16-64,12-15 Months,104
31-01-2021,1700,Ophthalmology,Adult,65+, 0-3 Months,28
31-01-2021,1700,Ophthalmology,Adult,65+,15-18 Months,1
31-01-2021,1700,Ophthalmology,Child,0-15, 3-6 Months,4
31-01-2021,1700,Ophthalmology,Child,0-15, 6-9 Months,3
31-01-2021,1700,Ophthalmology,Child,0-15,12-15 Months,1
31-01-2021,1800,Orthopaedics,Child,0-15,15-18 Months,32
31-01-2021,1900,Paediatrics,Adult,16-64,15-18 Months,1
31-01-2021,1900,Paediatrics,Child,0-15, 0-3 Months,315
31-01-2021,1900,Paediatrics,Child,0-15, 6-9 Months,132
31-01-2021,1900,Paediatrics,Child,0-15, 9-12 Months,168
31-01-2021,2300,Nephrology,Adult,16-64, 3-6 Months,1
31-01-2021,2400,Respiratory Medicine,Adult,16-64, 0-3 Months,64
31-01-2021,2400,Respiratory Medicine,Adult,16-64, 3-6 Months,29
31-01-2021,2400,Respiratory Medicine,Adult,16-64,12-15 Months,37
31-01-2021,2600,General Surgery,Adult,65+, 0-3 Months,38
31-01-2021,2600,General Surgery,Adult,65+, 3-6 Months,19
31-01-2021,2600,General Surgery,Child,0-15, 6-9 Months,27
31-01-2021,2700,Infectious Diseases,Adult,16-64, 3-6 Months,2
31-01-2021,5000,General Medicine,Adult,16-64, 0-3 Months,8
31-01-2021,5000,General Medicine,Adult,16-64, 9-12 Months,1
31-01-2021,7800,Urology,Adult,16-64, 0-3 Months,168
31-01-2021,7800,Urology,Adult,16-64,15-18 Months,55
31-01-2021,7800,Urology,Adult,16-64,18 Months +,43
31-01-2021,7800,Urology,Adult,65+, 3-6 Months,65
31-01-2021,7800,Urology,Adult,65+, 6-9 Months,47
31-01-2021,7800,Urology,Adult,65+, 9-12 Months,26
31-01-2021,7800,Urology,Adult,65+,12-15 Months,32
31-01-2021,100,Cardiology,Child,0-15, 3-6 Months,1
31-01-2021,300,Dermatology,Adult,65+,15-18 Months,45
31-01-2021,300,Dermatology,Adult,65+,18 Months +,32
31-01-2021,300,Dermatology,Child,0-15, 3-6 Months,1
31-01-2021,400,Endocrinology,Adult,65+, 0-3 Months,109
31-01-2021,400,Endocrinology,Adult,65+, 3-6 Months,85
31-01-2021,400,Endocrinology,Adult,65+, 9-12 Months,19
31-01-2021,400,Endocrinology,Adult,65+,12-15 Months,4
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 0-3 Months,164
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 9-12 Months,42
31-01-2021,600,Otolaryngology (ENT),Adult,65+,15-18 Months,10
31-01-2021,600,Otolaryngology (ENT),Child,0-15, 3-6 Months,14
31-01-2021,600,Otolaryngology (ENT),Child,0-15, 6-9 Months,4
31-01-2021,600,Otolaryngology (ENT),Child,0-15,12-15 Months,3
31-01-2021,1100,Haematology,Adult,16-64, 3-6 Months,185
31-01-2021,1100,Haematology,Adult,16-64, 6-9 Months,101
31-01-2021,1100,Haematology,Adult,16-64, 9-12 Months,55
31-01-2021,1100,Haematology,Adult,16-64,12-15 Months,46
31-01-2021,1300,Neurology,Adult,16-64, 3-6 Months,533
31-01-2021,1300,Neurology,Adult,16-64, 6-9 Months,334
31-01-2021,1300,Neurology,Adult,16-64, 9-12 Months,174
31-01-2021,1300,Neurology,Adult,16-64,12-15 Months,101
31-01-2021,1400,Neurosurgery,Adult,16-64, 3-6 Months,252
31-01-2021,1400,Neurosurgery,Adult,65+, 0-3 Months,184
31-01-2021,1503,Gynaecology,Adult,16-64, 3-6 Months,109
31-01-2021,1503,Gynaecology,Adult,16-64, 6-9 Months,57
31-01-2021,1503,Gynaecology,Adult,16-64, 9-12 Months,10
31-01-2021,1503,Gynaecology,Adult,16-64,12-15 Months,2
31-01-2021,1700,Ophthalmology,Child,0-15, 0-3 Months,3
31-01-2021,1700,Ophthalmology,Child,0-15, 3-6 Months,1
31-01-2021,1800,Orthopaedics,Adult,16-64, 0-3 Months,438
31-01-2021,1800,Orthopaedics,Adult,16-64, 9-12 Months,115
31-01-2021,1800,Orthopaedics,Adult,65+, 3-6 Months,179
31-01-2021,1800,Orthopaedics,Adult,65+, 6-9 Months,79
31-01-2021,1800,Orthopaedics,Adult,65+,12-15 Months,14
31-01-2021,2000,Plastic Surgery,Child,0-15, 0-3 Months,1
31-01-2021,2000,Plastic Surgery,Child,0-15, 3-6 Months,1
31-01-2021,2000,Plastic Surgery,Child,0-15, 6-9 Months,3
31-01-2021,2000,Plastic Surgery,Child,0-15, 9-12 Months,1
31-01-2021,2003,Maxillo-Facial,Adult,65+, 0-3 Months,3
31-01-2021,2100,Psychiatry,Adult,65+, 0-3 Months,2
31-01-2021,2300,Nephrology,Adult,16-64, 6-9 Months,1
31-01-2021,2300,Nephrology,Child,0-15, 0-3 Months,1
31-01-2021,2400,Respiratory Medicine,Adult,16-64, 3-6 Months,130
31-01-2021,2400,Respiratory Medicine,Adult,16-64, 6-9 Months,84
31-01-2021,2500,Rheumatology,Adult,65+, 0-3 Months,59
31-01-2021,2605,Breast Surgery,Adult,65+, 3-6 Months,10
31-01-2021,2700,Infectious Diseases,Adult,16-64, 3-6 Months,1
31-01-2021,7800,Urology,Adult,65+, 0-3 Months,175
31-01-2021,7800,Urology,Adult,65+, 6-9 Months,41
31-01-2021,7800,Urology,Adult,65+, 9-12 Months,54
31-01-2021,7800,Urology,Adult,65+,18 Months +,1
31-01-2021,7900,Clinical Immunology,Adult,65+, 0-3 Months,21
31-01-2021,8003,Pain Relief,Adult,16-64, 3-6 Months,110
31-01-2021,8003,Pain Relief,Adult,16-64, 6-9 Months,107
31-01-2021,8003,Pain Relief,Adult,16-64,12-15 Months,109
31-01-2021,1503,Gynaecology,Adult,16-64, 0-3 Months,1157
31-01-2021,1503,Gynaecology,Adult,16-64, 9-12 Months,239
31-01-2021,1503,Gynaecology,Adult,16-64,18 Months +,1
31-01-2021,1503,Gynaecology,Adult,65+, 3-6 Months,26
31-01-2021,1503,Gynaecology,Adult,65+, 6-9 Months,17
31-01-2021,1503,Gynaecology,Adult,65+,12-15 Months,14
31-01-2021,100,Cardiology,Adult,16-64,15-18 Months,77
31-01-2021,100,Cardiology,Adult,16-64,18 Months +,206
31-01-2021,100,Cardiology,Adult,65+, 0-3 Months,147
31-01-2021,100,Cardiology,Adult,65+, 3-6 Months,150
31-01-2021,100,Cardiology,Adult,65+, 9-12 Months,65
31-01-2021,100,Cardiology,Child,0-15, 6-9 Months,6
31-01-2021,300,Dermatology,Adult,16-64,15-18 Months,96
31-01-2021,300,Dermatology,Adult,16-64,18 Months +,79
31-01-2021,300,Dermatology,Adult,65+, 0-3 Months,56
31-01-2021,300,Dermatology,Adult,65+, 3-6 Months,40
31-01-2021,300,Dermatology,Adult,65+, 9-12 Months,31
31-01-2021,300,Dermatology,Adult,65+,12-15 Months,31
31-01-2021,300,Dermatology,Child,0-15, 6-9 Months,10
31-01-2021,600,Otolaryngology (ENT),Adult,16-64, 0-3 Months,188
31-01-2021,600,Otolaryngology (ENT),Adult,16-64, 6-9 Months,81
31-01-2021,600,Otolaryngology (ENT),Adult,16-64, 9-12 Months,150
31-01-2021,600,Otolaryngology (ENT),Adult,16-64,18 Months +,1458
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 3-6 Months,57
31-01-2021,600,Otolaryngology (ENT),Adult,65+,12-15 Months,51
31-01-2021,600,Otolaryngology (ENT),Child,0-15,15-18 Months,65
31-01-2021,700,Gastro-Enterology,Adult,16-64,18 Months +,1
31-01-2021,700,Gastro-Enterology,Adult,65+, 0-3 Months,48
31-01-2021,700,Gastro-Enterology,Adult,65+, 3-6 Months,35
31-01-2021,700,Gastro-Enterology,Adult,65+,12-15 Months,6
31-01-2021,900,Geriatric Medicine,Adult,16-64,15-18 Months,1
31-01-2021,900,Geriatric Medicine,Adult,65+, 0-3 Months,68
31-01-2021,900,Geriatric Medicine,Adult,65+, 3-6 Months,25
31-01-2021,900,Geriatric Medicine,Adult,65+, 6-9 Months,5
31-01-2021,900,Geriatric Medicine,Adult,65+, 9-12 Months,2
31-01-2021,1100,Haematology,Adult,65+,18 Months +,31
31-01-2021,1100,Haematology,Child,0-15, 0-3 Months,1
31-01-2021,1300,Neurology,Adult,65+,15-18 Months,6
31-01-2021,1300,Neurology,Adult,65+,18 Months +,69
31-01-2021,1300,Neurology,Child,0-15, 9-12 Months,1
31-01-2021,1900,Paediatrics,Adult,16-64,12-15 Months,4
31-01-2021,1900,Paediatrics,Adult,16-64,15-18 Months,5
31-01-2021,1900,Paediatrics,Child,0-15, 6-9 Months,142
31-01-2021,1900,Paediatrics,Child,0-15, 9-12 Months,157
31-01-2021,1900,Paediatrics,Child,0-15,15-18 Months,54
31-01-2021,2000,Plastic Surgery,Adult,16-64, 0-3 Months,337
31-01-2021,2000,Plastic Surgery,Adult,16-64, 3-6 Months,336
31-01-2021,2000,Plastic Surgery,Adult,16-64, 6-9 Months,187
31-01-2021,2000,Plastic Surgery,Adult,16-64,12-15 Months,166
31-01-2021,2000,Plastic Surgery,Adult,16-64,15-18 Months,173
31-01-2021,2000,Plastic Surgery,Child,0-15, 6-9 Months,26
31-01-2021,2000,Plastic Surgery,Child,0-15,15-18 Months,29
31-01-2021,2300,Nephrology,Adult,65+, 9-12 Months,34
31-01-2021,2300,Nephrology,Child,0-15, 9-12 Months,1
31-01-2021,2400,Respiratory Medicine,Adult,16-64, 0-3 Months,170
31-01-2021,2400,Respiratory Medicine,Adult,16-64,18 Months +,476
31-01-2021,2400,Respiratory Medicine,Adult,65+, 3-6 Months,70
31-01-2021,2400,Respiratory Medicine,Adult,65+, 6-9 Months,30
31-01-2021,2400,Respiratory Medicine,Adult,65+,12-15 Months,41
31-01-2021,2400,Respiratory Medicine,Adult,65+,15-18 Months,47
31-01-2021,2500,Rheumatology,Adult,16-64, 9-12 Months,132
31-01-2021,2500,Rheumatology,Adult,65+,18 Months +,198
31-01-2021,2600,General Surgery,Adult,16-64,18 Months +,208
31-01-2021,2600,General Surgery,Adult,65+, 0-3 Months,190
31-01-2021,2600,General Surgery,Adult,65+, 3-6 Months,134
31-01-2021,2600,General Surgery,Adult,65+,12-15 Months,24
31-01-2021,2600,General Surgery,Adult,65+,15-18 Months,4
31-01-2021,2600,General Surgery,Child,0-15, 6-9 Months,6
31-01-2021,2604,Vascular Surgery,Adult,65+, 0-3 Months,202
31-01-2021,2604,Vascular Surgery,Adult,65+,18 Months +,322
31-01-2021,2700,Infectious Diseases,Adult,16-64, 0-3 Months,2
31-01-2021,5000,General Medicine,Adult,16-64, 0-3 Months,125
31-01-2021,5000,General Medicine,Adult,16-64, 6-9 Months,201
31-01-2021,5000,General Medicine,Adult,16-64,15-18 Months,76
31-01-2021,5000,General Medicine,Adult,65+, 9-12 Months,20
31-01-2021,7001,Oral Surgery,Adult,16-64, 3-6 Months,236
31-01-2021,7001,Oral Surgery,Adult,16-64, 6-9 Months,150
31-01-2021,7001,Oral Surgery,Adult,16-64,12-15 Months,246
31-01-2021,7001,Oral Surgery,Adult,16-64,15-18 Months,244
31-01-2021,7001,Oral Surgery,Adult,65+, 9-12 Months,42
31-01-2021,7001,Oral Surgery,Child,0-15, 6-9 Months,8
31-01-2021,7400,Pathology,Adult,16-64, 0-3 Months,22
31-01-2021,7400,Pathology,Adult,16-64,18 Months +,41
31-01-2021,7400,Pathology,Adult,65+, 3-6 Months,2
31-01-2021,7400,Pathology,Adult,65+, 6-9 Months,2
31-01-2021,7400,Pathology,Adult,65+,12-15 Months,4
31-01-2021,7600,Cardio-Thoracic Surgery,Adult,16-64, 3-6 Months,7
31-01-2021,7600,Cardio-Thoracic Surgery,Adult,16-64, 6-9 Months,2
31-01-2021,7600,Cardio-Thoracic Surgery,Child,0-15,15-18 Months,1
31-01-2021,1300,Neurology,Child,0-15,12-15 Months,1
31-01-2021,1503,Gynaecology,Child,0-15, 0-3 Months,3
31-01-2021,1503,Gynaecology,Child,0-15, 6-9 Months,1
31-01-2021,1503,Gynaecology,Child,0-15, 9-12 Months,2
31-01-2021,1600,Oncology,Adult,65+, 0-3 Months,13
31-01-2021,1600,Oncology,Adult,65+, 9-12 Months,1
31-01-2021,1800,Orthopaedics,Adult,16-64, 3-6 Months,279
31-01-2021,1800,Orthopaedics,Adult,16-64,12-15 Months,198
31-01-2021,1800,Orthopaedics,Adult,65+,15-18 Months,92
31-01-2021,1800,Orthopaedics,Child,0-15,18 Months +,8
